phone_name,condition1,oldprice,ram,rom
iPhone SE 2020,cũ Trầy Xước,4.090.000 ₫,3 GB,64 GB
iPhone 8 Plus,Cũ trầy xước,6.190.000 ₫,3 GB,128 GB
TECNO SPARK 20,Đã kích hoạt,2.590.000 ₫,8GB + Mở rộng 8GB,128 GB
iPhone 8,cũ đẹp,3.290.000 ₫,,64 GB
Samsung Galaxy S22,Cũ đẹp,8.490.000 ₫,8 GB,128 GB
Xiaomi Redmi Note 10S,Cũ đẹp,2.990.000 ₫,8 GB,128 GB
iPhone 7 Plus,,7.500.000 ₫,,32 GB
Xiaomi Mi 11T Pro,Cũ Trầy Xước,5.390.000 ₫,12 GB,256 GB
OPPO Reno11,Cũ đẹp,7.290.000 ₫,8 GB,256 GB
INOI A72,Cũ trầy xước,1.490.000 ₫,,
OPPO A3,Đã kích hoạt,4.190.000 ₫,,
Realme C67,Cũ đẹp,3.090.000 ₫,,
iPhone 8,cũ đẹp,4.090.000 ₫,,256 GB
iPhone 7,cũ trầy xước,3.790.000 ₫,,256 GB
iPhone 14 Pro Max,Cũ xước cấn,21.590.000 ₫,,256 GB
iPhone 7,Cũ đẹp,2.590.000 ₫,,32 GB
Nokia C21 Plus,Đã Kích Hoạt,1.490.000 ₫,2 GB,32 GB
Xiaomi Mi 11 Lite,Cũ đẹp,3.890.000 ₫,4 GB,128 GB
OPPO Reno8,Cũ Đẹp,4.390.000 ₫,8 GB,256 GB
iPhone 6s,cũ trầy xước,2.790.000 ₫,,128 GB
iPhone 6s,cũ trầy xước,2.790.000 ₫,,128 GB
iPhone 13 Pro,Cũ trầy xước,15.590.000 ₫,6 GB,256 GB
Samsung Galaxy A05,Đã Kích Hoạt,2.390.000 ₫,4 GB,128 GB
Infinix Hot 40 Pro Free Fire,Cũ đẹp,2.790.000 ₫,,
OPPO RENO12,Cũ đẹp,9.590.000 ₫,,
OPPO A58,Đã kích hoạt,3.590.000 ₫,6 GB,128 GB
iPhone 14 Pro Max,Cũ đẹp,25.290.000 ₫,,512 GB
OPPO A57,Cũ xước cấn,1.790.000 ₫,4 GB,128 GB
REALME C51,ĐÃ KÍCH HOẠT,2.790.000 ₫,6GB,256 GB
Samsung Galaxy Z Flip4,Cũ đẹp,7.990.000 ₫,,
iPhone 13 Pro,Cũ đẹp,18.590.000 ₫,,512 GB
iPhone 7 Plus,cũ trầy xước,3.490.000 ₫,,32 GB
iPhone 11,Cũ xước cấn,7.390.000 ₫,4 GB,128 GB
Vivo Y35,Cũ đẹp,3.290.000 ₫,8GB + Mở rộng 8GB,128 GB
iPhone 11 Pro Max,cũ xước cấn,8.890.000 ₫,,
iPhone 12 Mini,Cũ trầy xước,10.490.000 ₫,4 GB,256 GB
iPhone 12 Pro,Cũ trầy xước,16.090.000 ₫,,512 GB
Samsung Galaxy A04S,Cũ đẹp,2.090.000 ₫,4 GB,64 GB
Samsung Galaxy A73,Cũ đẹp,5.990.000 ₫,8 GB,128 GB
Realme C55,Đã Kích Hoạt,3.190.000 ₫,6 GB,128 GB
iPhone 7,cũ đẹp,4.490.000 ₫,,256 GB
iPhone 8,Cũ trầy xước,4.390.000 ₫,,256 GB
iPhone 13 Pro Max,Đã kích hoạt,18.290.000 ₫,6 GB,128 GB
