brand,phone_name,condition1,condition2,oldprice,newprice,release,ram,rom
,OPPO A3X,Cũ Đẹp,,3.290.000đ,,,6 GB,128 GB
,iPhone 12 mini,Cũ trầy xước,,8.990.000đ,20.990.000đ,,4 GB,256 GB
,Xiaomi 13 Lite,Cũ Trầy Xước,,5.590.000đ,11.490.000đ,,8 GB,256 GB
,Samsung Galaxy Z Fold3,Cũ Xước Cấn,,11.490.000đ,44.990.000đ,,12 GB,512 GB
,Tecno Pova 6,Đã Kích Hoạt,,4.990.000đ,6.490.000đ,,8 GB,256 GB
,iPhone 11,Cũ Đẹp,,8.990.000đ,19.990.000đ,,4 GB,256 GB
,POCO M6,Đã Kích Hoạt,,3.190.000đ,4.290.000đ,,6 GB,128 GB
,Apple iPhone 12,Cũ Trầy Xước,,8.290.000đ,,,,64 GB
,iPhone 13 Pro,Cũ Trầy Xước,,15.590.000đ,26.990.000đ,,6 GB,256 GB
,Xiaomi Redmi Note 13 Pro,Cũ Đẹp,,4.790.000đ,7.290.000đ,,8 GB,128 GB
,Xiaomi 14 Ultra,Cũ Đẹp,,22.090.000đ,32.990.000đ,,16 GB,512 GB
,OPPO Find X5 Pro,Cũ Trầy Xước,,11.590.000đ,19.990.000đ,,12 GB,256 GB
,OPPO Reno7 Z,Cũ Đẹp,,3.590.000đ,9.990.000đ,,8 GB,128 GB
,iPhone 13 mini,Cũ Trầy Xước,,9.990.000đ,21.990.000đ,,4 GB,128 GB
,Samsung Galaxy S23 FE,Đã Kích Hoạt,,9.490.000đ,14.890.000đ,,8 GB,128 GB
,Samsung Galaxy Z Fold3,Cũ trầy xước,,11.490.000đ,44.990.000đ,,12 GB,256 GB
,Realme C53,Đã Kích Hoạt,,3.290.000đ,4.790.000đ,,8 GB,256 GB
,Samsung Galaxy S22 Ultra,Cũ Xước Cấn,,13.590.000đ,36.990.000đ,,12 GB,512 GB
,OPPO Reno12,Đã Kích Hoạt,,10.590.000đ,12.990.000đ,,12 GB,256 GB
,iPhone 14 Pro Max,Cũ Xước Cấn,,23.590.000đ,38.990.000đ,,,512 GB
,Xiaomi 13 Pro,Cũ Xước Cấn,,12.590.000đ,29.990.000đ,,8 GB,256 GB
,iPhone 15 Plus,Cũ Đẹp,,21.590.000đ,28.990.000đ,,,256 GB
,OPPO Reno8 T,Cũ Trầy Xước,,4.590.000đ,,,8 GB,128 GB
,Xiaomi 13T,Cũ Đẹp,,7.890.000đ,12.990.000đ,,8 GB,256 GB
,Samsung Galaxy M54,Cũ Trầy Xước,,5.990.000đ,,,8 GB,256 GB
,iPhone 14 Pro Max,Cũ Trầy Xước,,22.590.000đ,32.990.000đ,,,256 GB
,iPhone 12,Cũ Xước Cấn,,7.490.000đ,15.990.000đ,,,64 GB
,Vivo X80,Cũ Đẹp,,7.890.000đ,19.990.000đ,,12 GB,256 GB
,Samsung Galaxy A33,Cũ Xước Cấn,,3.290.000đ,7.290.000đ,,6 GB,128 GB
,Điện thoại Sony Xperia 10 V,Đã Kích Hoạt,,7.390.000đ,12.490.000đ,,8 GB,128 GB
,Samsung Galaxy Z Flip6,Đã Kích Hoạt,,21.590.000đ,28.990.000đ,,12 GB,256 GB
,Điện thoại Nubia Music NFC,Đã Kích Hoạt,,1.890.000đ,2.490.000đ,,4 GB,128 GB
,Apple iPhone 8 Plus,Cũ Trầy xước,,4.090.000đ,15.000.000đ,,,64 GB
,Apple iPhone 7 Plus,Cũ xước cấn,,4.090.000đ,,,,128 GB
,Samsung Galaxy Z Fold5,Cũ Trầy Xước,,20.790.000đ,40.990.000đ,,12 GB,256 GB
,Samsung Galaxy S23 Ultra,Cũ Trầy Xước,,18.790.000đ,36.990.000đ,,12 GB,512 GB
,Samsung Galaxy A14,Cũ Đẹp,,2.590.000đ,4.490.000đ,,4 GB,128 GB
,iPhone 15 Pro Max,Cũ Trầy Xước,,25.690.000đ,34.990.000đ,,,256 GB
,Samsung Galaxy S24 Plus,Cũ Đẹp,,19.790.000đ,30.490.000đ,,12 GB,512 GB
,Điện thoại Sony Xperia 1V,Cũ Đẹp,,20.590.000đ,35.990.000đ,,12 GB,256 GB
,iPhone 15 Pro Max,Đã Kích Hoạt,,31.990.000đ,40.990.000đ,,,512 GB
,iPhone 13 Pro Max,Cũ Trầy Xước,,18.890.000đ,33.990.000đ,,6 GB,512 GB
,Samsung Galaxy Z Fold5,Cũ Xước Cấn,,20.790.000đ,44.990.000đ,,12 GB,512 GB
,OnePlus Nord CE 3 Lite,Cũ Đẹp,,3.990.000đ,6.190.000đ,,8 GB,256 GB
