brand,phone_name,oldprice,newprice,release,ram,rom,combined_condition
,OPPO Reno10,5.990.000đ,10.990.000đ,,8 GB,256 GB,a_old 
,Redmi A1,990.000đ,2.190.000đ,,2 GB,32 GB,a_old 
,Samsung Galaxy S24,14.290.000đ,22.990.000đ,,8 GB,256 GB,a_like_new 
,iPhone 15 Pro,28.690.000đ,37.990.000đ,,,512 GB,a_like_new 
,Samsung Galaxy A55,6.490.000đ,9.990.000đ,,8 GB,128 GB,a_old 
,OPPO A18,2.990.000đ,3.990.000đ,,4 GB,128 GB,a_new 
,iPhone 14 Pro Max,23.390.000đ,29.990.000đ,,6 GB,128 GB,a_new 
,Samsung Galaxy S22 Plus,9.190.000đ,25.990.000đ,,8 GB,256 GB,a_old 
,Samsung Galaxy Z Fold5,19.790.000đ,40.990.000đ,,12 GB,256 GB,a_old 
,Samsung Galaxy A71,4.690.000đ,10.490.000đ,,,128 GB,a_like_new 
,Samsung Galaxy Z Fold5,21.790.000đ,44.990.000đ,,12 GB,512 GB,a_old 
,OnePlus Nord CE 3 Lite,4.390.000đ,6.190.000đ,,8 GB,256 GB,a_new 
,OPPO Reno12 F,7.890.000đ,9.490.000đ,,8 GB,256 GB,a_new 
,OPPO Reno10,6.390.000đ,,,8 GB,128 GB,a_new 
,OPPO Find N3,30.290.000đ,44.990.000đ,,16 GB,512 GB,a_like_new 
,Xiaomi 12 Pro,9.490.000đ,27.990.000đ,,12 GB,256 GB,a_new 
,TCL 40SE,2.590.000đ,3.990.000đ,,6 GB,256 GB,a_new 
,vivo V29E,5.390.000đ,8.990.000đ,,8 GB,256 GB,a_like_new 
,Điện thoại Sony Xperia 1 V,19.590.000đ,35.990.000đ,,12 GB,256 GB,a_old 
,Samsung Galaxy A25,4.490.000đ,6.590.000đ,,6 GB,128 GB,a_like_new 
,iPhone 7 Plus,0đ,,,,256 GB,a_old 
,Tecno POVA 5,3.290.000đ,4.490.000đ,,8 GB,128 GB,a_new 
,Vivo Y02s,1.690.000đ,3.290.000đ,,3 GB,32 GB,a_old 
,Samsung Galaxy Z Flip6,24.990.000đ,32.990.000đ,,12 GB,512 GB,a_new 
,Samsung Galaxy A25,4.890.000đ,6.590.000đ,,8 GB,128 GB,a_like_new 
,iPhone 13 Pro Max,19.890.000đ,33.990.000đ,,6 GB,512 GB,a_like_new 
,Realme C55,2.890.000đ,4.990.000đ,,6 GB,128 GB,a_like_new 
,Samsung Galaxy A15 LTE,3.190.000đ,4.990.000đ,,8 GB,128 GB,a_like_new 
,OPPO Find N3 Flip,15.390.000đ,22.990.000đ,,12 GB,256 GB,a_like_new 
,iPhone 15,22.590.000đ,31.990.000đ,,6 GB,512 GB,a_like_new 
,iPhone SE 2020,6.390.000đ,17.990.000đ,,3 GB,256 GB,a_like_new 
,OPPO A77s,3.490.000đ,6.290.000đ,,8 GB,128 GB,a_like_new 
,Infinix Note 30,3.090.000đ,5.290.000đ,,8GB + Mở rộng 8GB,256 GB,a_old 
,iPhone XS Max,7.190.000đ,25.000.000đ,,,64 GB,a_like_new 
,iPhone 11 Pro Max,10.390.000đ,29.000.000đ,,4 GB,64 GB,a_like_new 
,OPPO Reno12,11.590.000đ,,,12 GB,512 GB,a_new 
,OnePlus 8T,6.090.000đ,18.990.000đ,,12 GB,256 GB,a_like_new 
,iPhone 11 Pro Max,9.690.000đ,,,4 GB,64 GB,a_old 
,Samsung Galaxy Z Flip4,7.890.000đ,25.990.000đ,,8 GB,256 GB,a_old 
,ASUS ROG Phone 6 Batman,10.790.000đ,27.990.000đ,,12 GB,256 GB,a_old 
,OPPO A3,4.190.000đ,4.990.000đ,,6 GB,128 GB,a_new 
